;prot_id;template_code;date_of_lesson;org_id;teacher_id;observer_id;curator_id;class;satisfaction;wish_to_change;pupils_all;pupils_strong;pupils_middle;pupils_weak;interactions_all;interactions_strong;interactions_middle;interactions_weak;attention_all;attention_strong;attention_middle;attention_weak;teacher_comments
0;1595;П3.2;18.05.2021;109;704;703;702;0;0;0;29;13;13;3;0;0;0;0;0;16;15;4;Слабым детям труднее давать ответы на продуктивные вопросы: они теряются, схлопываются. Легче даются ответы на такие вопросы детям с высоким вербальным интеллектом. Для себя определила цель: при подготовке к занятиям чаще определять продуктивные вопросы и чаще просить детей давать письменные ответы
1;1596;П3.2;18.05.2021;109;703;704;702;0;0;0;28;12;12;4;0;0;0;0;0;21;14;6;Слабым детям труднее давать ответы на продуктивные вопросы: они теряются, схлопываются. Легче даются ответы на такие вопросы детям с высоким вербальным интеллектом. Для себя определила цель: при подготовке к занятиям чаще определять продуктивные вопросы и чаще просить детей давать письменные ответы
2;799;П3.2;14.01.2022;68;521;520;519;0;0;0;14;6;6;4;0;0;0;0;0;0;0;0;Работали на ноутбуках, поэтому вопросов по теоретической части было меньше (практическое занятие)
3;820;П3.2;14.01.2022;68;520;521;519;0;0;0;16;6;6;4;0;0;0;0;0;0;0;0;
4;578;П3.2;14.02.2022;131;748;745;744;0;0;0;6;2;2;2;0;0;0;0;6;2;2;2;Уроком удовлетворена. Как можно больше формулировать продуктивные вопросы. 
5;1165;П3.2;17.02.2022;128;736;735;734;0;0;0;7;2;1;4;0;0;0;0;4;2;1;1;Повторять заданный продуктивный вопрос
6;1173;П3.2;17.02.2022;128;735;736;734;0;0;0;10;4;4;2;0;0;0;0;8;4;4;0;Настаивать на участии в ответах слабых учеников
7;256;П3.2;24.02.2022;75;497;498;496;0;0;0;4;2;1;1;0;0;0;0;4;2;1;1;При подготовки к урокам больше продумывать задавать вопросы продуктивного характера. Предлагать задания учащимся за рамками урока.
8;260;П3.2;25.02.2022;75;498;497;496;0;0;0;3;1;0;2;0;0;0;0;3;1;0;2;на уроках часто задаю репродуктивные воросы слабым ученикам, чтобы оценить уровень подготовки по данной теме урока. В дальнейшем больше задавать вопросы продуктивного характера слабым учащимся
9;845;П3.2;28.02.2022;129;752;753;757;0;0;0;14;2;3;9;0;0;0;0;12;2;3;9;Не все учащиеся были задействованы на уроке. Вопросы были в большей степени репродуктивного характера.
10;848;П3.2;28.02.2022;129;753;752;757;0;0;0;12;1;4;7;0;0;0;0;9;1;3;5;Изменить форму вопроса, внедритьработу в группах (парах), работа с текстом по составлению  вопросов по параграфу учебника.
11;978;П3.2;04.03.2022;88;573;574;572;0;0;0;5;2;2;1;0;0;0;0;5;2;2;1;Учитель на уроке использовал больше всего вопросов репродуктивного характера. Урок строить так, чтобы вопросов репродуктивного характера было больше.
12;980;П3.2;04.03.2022;88;574;573;572;0;0;0;6;0;4;2;0;0;0;0;3;0;2;1;На уроке было больше репродуктивных вопросов, так как урок закрепления материала. Учителю необходимо планировать применение продуктивных вопросов.
13;97;П3.2;09.03.2022;84;565;566;564;0;0;0;2;2;0;0;0;0;0;0;2;2;0;0;Вполне удолетворена работой на уроке.
14;108;П3.2;09.03.2022;84;566;565;564;0;0;0;7;2;3;2;0;0;0;0;7;2;3;2;Процент продуктивных вопросов увеличился. Продолжать в том же направлении. Применять  приёмы и технологии, которые показали хороший результат.
15;195;П3.2;09.03.2022;111;801;802;792;0;0;0;23;5;11;7;0;0;0;0;18;5;8;5;"Увеличение количества продуктивных вопросов повысило активность работы на уроке ""слабых"" обучающихся, а обучающиеся со средними способностями стали отвечать более полно, развернуто. На последующих уроках можно поработать с отдельными обучающимися (слабый и сильный), подобрав продуктивные вопросы для каждого(дифференцируя их)."
16;202;П3.2;09.03.2022;111;802;801;792;0;0;0;23;5;12;6;0;0;0;0;13;4;5;4;При увеличении количества проблемных вопросов повысилась активность слабых обучающихся, а ответы сильных детей стали более содержательными. На следующих уроках просмотреть средних и слабых обучающихся, подобрав проблемные вопросы.
17;246;П3.2;12.03.2022;114;818;823;819;0;0;0;2;0;2;0;0;0;0;0;2;0;2;0;Удовлетворена не совсем. Опять мало продуктивных вопросов.. Судя по ответам детей, большее количество ответов на продуктивные вопросы давал тот ученик,который посильнее. Ставлю цель: учиться формулировать продуктивные вопросы,продумывать их. Распределять вопросы адресно,давать время подумать, а не передавать вопрос другому ученику
18;251;П3.2;12.03.2022;114;823;818;819;0;0;0;2;0;1;1;0;0;0;0;2;0;1;1;Удовлетворена уроком частично.  Считаю, что мне нужно больше использовать продуктивных вопросов, тщательнее готовиться к урокам. Цель так себе и формулирую. И добавляю: распределять равномерно на всех продуктивные вопросы, организовывать мыслительную деятельность и у средних, и у слабых учеников
19;812;П3.2;14.03.2022;100;687;688;689;0;0;0;18;10;4;4;0;0;0;0;18;10;4;4;Во время работы учитель видел весь класс: задавал наводящие вопросы слабым учащимся, переадресовывая вопросы сильным средним ученикам
20;336;П3.2;18.03.2022;133;726;725;724;0;0;0;8;2;5;1;0;0;0;0;7;2;5;0;Уроком удовлетворена, но хотелось бы чтобы все дети были активными. Для того, чтобы достичь своей цели - буду использовать новые технологии.
21;903;П3.2;18.03.2022;114;821;820;819;0;0;0;3;1;1;1;0;0;0;0;3;1;1;1; Я удовлетворена. При подготовке урока надо  продумывать для ученика со статусом ОВЗ задания так, чтобы он начал выполнять задания продуктивного характера, создавать для него ситуацию успеха. Цель понимаю,как достичь
22;240;П3.2;18.03.2022;114;820;821;819;0;0;0;2;2;0;0;0;0;0;0;2;2;0;0;Да,удовлетворена. Считаю, что изменить что-то придётся,когда в класс вернётся после болезни средний ученик. Цель- развивать  среднего ученика таким образом, чтобы он мог отвечать на продуктивные вопросы. Понимаю,как достичь- тщательно продумывать подготовку к уроку
23;887;П3.2;30.03.2022;123;838;839;837;0;0;0;10;5;5;0;0;0;0;0;10;5;5;0;Работой удовлетворена. Считаю, что ничего менять не нужно.
24;1009;П3.2;05.04.2022;76;502;501;500;0;0;0;7;2;2;3;0;0;0;0;7;2;2;3;Да, удовлетворена. Возможно использовать продуктивные вопросы для слабых учащихся, хотя для этого необходимо затратить больше времени. Ставлю цель : задавать всем продуктивные вопросы, стараться подбирать вопросы в соответствии с уровнем познавательной активности и уровнем знаний учащихся. Учить строить логические цепочки, сравнивать, обобщать
25;894;П3.2;06.04.2022;123;839;838;837;0;0;0;10;3;5;2;0;0;0;0;0;3;5;2;Работой удовлетворена, но можно продумать больше продуктивных вопросов.
26;172;П3.2;06.04.2022;111;798;797;790;0;0;0;25;4;17;4;0;0;0;0;23;4;15;4;
27;178;П3.2;06.04.2022;111;797;798;790;0;0;0;16;4;8;4;0;0;0;0;15;4;7;4;
28;864;П3.2;07.04.2022;129;758;759;751;0;0;0;10;3;3;4;0;0;0;0;9;3;3;3;Увеличилось количество продуктивных вопросов. Вовлечь в ответы на репродуктивные вопросы средних и слабых учеников.
29;922;П3.2;07.04.2022;101;653;654;650;0;0;0;19;5;9;5;0;0;0;0;16;5;8;3;Урок прошел не так, как хотелось бы. Дети могли быть поактивнее. 
30;853;П3.2;08.04.2022;129;756;755;754;0;0;0;7;4;2;1;0;0;0;0;7;4;2;1;Следует увеличивать на уроке количество продуктивных вопросов. Чаще использовать письменные и игровые формы работы на уроке.
31;870;П3.2;08.04.2022;129;759;758;751;0;0;0;10;4;3;3;0;0;0;0;9;4;3;2;Снизить соотношение между репродуктивными и продуктивными вопросами, для этого репродуктивные вопросы преобразовать  в продуктивные. Обратить внимание на детей средней группы, не выпускать слабых детей из поля зрения.
32;1711;П3.2;11.04.2022;79;534;533;532;0;0;0;12;3;5;4;0;0;0;0;10;5;4;1;Моя цель посещения урока русского языка:  посмотреть , все ли типы вопросов по таксономии Блума  используются на уроке.  В итоге,  вопросов на знание было наибольшее количество.  Нужно  добавить  вопросы на применение и синтез.
33;1713;П3.2;11.04.2022;79;533;534;532;0;0;0;10;4;4;2;0;0;0;0;10;4;4;2;На уроке окружающего мира были использованы  2 типа вопросов (продуктивные и репродуктивные). Уроком удовлетворена.  Я бы изменила  вид опроса (продуктивные) для слабых, применила бы опрос :верно-неверно. Цель: все ли вопросы были по токсономии Блума.  Нужно применить  вопросы на применение, синтез. Наибольшее количество вопросов  было на тип : знание.
